study_id,team_id,study,alpha,tstat,se,precision,sample_size,weight,year_data,year_publication,country,depvar_individual_funds,depvar_equalw_funds,depvar_valuew_funds,depvar_net_returns,depvar_gross_returns,data_cross_section,data_longitudal,data_midyear,database_default,database_cst,database_cisdm,database_handcollect,database_other,number_of_databases,market_developed,market_world,market_bull,market_bear,strategy_all,strategy_equity,strategy_events,strategy_relative_value,strategy_global,strategy_fund_of_funds,strategy_multi,strategy_other,method_iv,model_1factor,model_3factor,model_4factor,model_7factor,model_uncertainty,model_asset_based,model_other,survivorship_treated,backfilling_treated,publication_year,citations,impact_factor,top3,top5,reference,alpha_m,alpha_y,alpha_q,t_stat,t_hetero_std,aux_ts_all,se_monthly,starty,endy,n_obs_tot,n_time_series,n_cross_section,depvar_index,depvar_portfolio,market_development,fund_old,fund_young,fund_small,fund_large,lockup_restriction,country.1,market_recession,market_growth,alpha_monthly,data_monthly,method_ols,method_gmm,method_other
1,23,Eling & Faust (2010),2.05,3.28,0.625,1.6,33.0,0.03333333333333333,1997.5,2010,Global funds,0,1,0,1,0,1,0,2.1400661634962708,0,0,1,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,1,2.302585092994046,2.4495672833426916,1.58,0,0,"Eling, M. & R. Faust (2010): The performance of hedge funds and mutual funds in emerging markets. Journal of Banking & Finance 34(8): 1993-2009.",2.05,,,3.28,,,,1996,1998,,33.0,1.0,0,1,world market,0,0,0,0,0,i_region_all,0,0,1,1,1,0,0
1,23,Eling & Faust (2010),0.44,0.81,0.5432098765432098,1.840909090909091,33.0,0.03333333333333333,1997.5,2010,Global funds,0,1,0,1,0,1,0,2.1400661634962708,0,0,1,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,1,2.302585092994046,2.4495672833426916,1.58,0,0,"Eling, M. & R. Faust (2010): The performance of hedge funds and mutual funds in emerging markets. Journal of Banking & Finance 34(8): 1993-2009.",0.44,,,0.81,,,,1996,1998,,33.0,1.0,0,1,world market,0,0,0,0,0,i_region_all,0,0,1,1,1,0,0
1,23,Eling & Faust (2010),2.14,2.6,0.8230769230769232,1.2149532710280373,18.0,0.03333333333333333,1999.5,2010,Global funds,0,1,0,1,0,1,0,2.3513752571634776,0,0,1,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,1,2.302585092994046,2.4495672833426916,1.58,0,0,"Eling, M. & R. Faust (2010): The performance of hedge funds and mutual funds in emerging markets. Journal of Banking & Finance 34(8): 1993-2009.",2.14,,,2.6,,,,1998,2000,,18.0,1.0,0,1,world market,0,0,0,0,0,i_region_all,0,0,1,1,1,0,0
1,23,Eling & Faust (2010),2.2,2.69,0.8178438661710038,1.2227272727272727,18.0,0.03333333333333333,1999.5,2010,Global funds,0,1,0,1,0,1,0,2.3513752571634776,0,0,1,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,1,2.302585092994046,2.4495672833426916,1.58,0,0,"Eling, M. & R. Faust (2010): The performance of hedge funds and mutual funds in emerging markets. Journal of Banking & Finance 34(8): 1993-2009.",2.2,,,2.69,,,,1998,2000,,18.0,1.0,0,1,world market,0,0,0,0,0,i_region_all,0,0,1,1,1,0,0
1,23,Eling & Faust (2010),2.2,2.62,0.8396946564885497,1.190909090909091,18.0,0.03333333333333333,1999.5,2010,Global funds,0,1,0,1,0,1,0,2.3513752571634776,0,0,1,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,1,2.302585092994046,2.4495672833426916,1.58,0,0,"Eling, M. & R. Faust (2010): The performance of hedge funds and mutual funds in emerging markets. Journal of Banking & Finance 34(8): 1993-2009.",2.2,,,2.62,,,,1998,2000,,18.0,1.0,0,1,world market,0,0,0,0,0,i_region_all,0,0,1,1,1,0,0
1,23,Eling & Faust (2010),0.93,1.26,0.7380952380952381,1.3548387096774193,18.0,0.03333333333333333,1999.5,2010,Global funds,0,1,0,1,0,1,0,2.3513752571634776,0,0,1,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,1,2.302585092994046,2.4495672833426916,1.58,0,0,"Eling, M. & R. Faust (2010): The performance of hedge funds and mutual funds in emerging markets. Journal of Banking & Finance 34(8): 1993-2009.",0.93,,,1.26,,,,1998,2000,,18.0,1.0,0,1,world market,0,0,0,0,0,i_region_all,0,0,1,1,1,0,0
1,23,Eling & Faust (2010),0.87,1.9,0.4578947368421053,2.1839080459770113,18.0,0.03333333333333333,1999.5,2010,Global funds,0,1,0,1,0,1,0,2.3513752571634776,0,0,1,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,1,2.302585092994046,2.4495672833426916,1.58,0,0,"Eling, M. & R. Faust (2010): The performance of hedge funds and mutual funds in emerging markets. Journal of Banking & Finance 34(8): 1993-2009.",0.87,,,1.9,,,,1998,2000,,18.0,1.0,0,1,world market,0,0,0,0,0,i_region_all,0,0,1,1,1,0,0
1,23,Eling & Faust (2010),-0.25,-0.48,0.5208333333333334,1.92,18.0,0.03333333333333333,1999.5,2010,Global funds,0,1,0,1,0,1,0,2.3513752571634776,0,0,1,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,1,2.302585092994046,2.4495672833426916,1.58,0,0,"Eling, M. & R. Faust (2010): The performance of hedge funds and mutual funds in emerging markets. Journal of Banking & Finance 34(8): 1993-2009.",-0.25,,,-0.48,,,,1998,2000,,18.0,1.0,0,1,world market,0,0,0,0,0,i_region_all,0,0,1,1,1,0,0
1,23,Eling & Faust (2010),1.07,4.18,0.2559808612440192,3.9065420560747652,81.0,0.03333333333333333,2003.5,2010,Global funds,0,1,0,1,0,1,0,2.6741486494265287,0,0,1,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,1,2.302585092994046,2.4495672833426916,1.58,0,0,"Eling, M. & R. Faust (2010): The performance of hedge funds and mutual funds in emerging markets. Journal of Banking & Finance 34(8): 1993-2009.",1.07,,,4.18,,,,2000,2006,,81.0,1.0,0,1,world market,0,0,0,0,0,i_region_all,0,0,1,1,1,0,0
1,23,Eling & Faust (2010),0.78,3.27,0.23853211009174313,4.1923076923076925,81.0,0.03333333333333333,2003.5,2010,Global funds,0,1,0,1,0,1,0,2.6741486494265287,0,0,1,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,1,2.302585092994046,2.4495672833426916,1.58,0,0,"Eling, M. & R. Faust (2010): The performance of hedge funds and mutual funds in emerging markets. Journal of Banking & Finance 34(8): 1993-2009.",0.78,,,3.27,,,,2000,2006,,81.0,1.0,0,1,world market,0,0,0,0,0,i_region_all,0,0,1,1,1,0,0
