IDStudy,t,PCC,SE PCC,quadratic,Zscore,NPL,profitability,profit_volat,capitalization,dummies,DtoD,Lerner,Hstatistic,Concentration,HHI,Boone,developed,undeveloped,GMM,2SLS,Logit,FE,RE,OLS,T,Samplesize,endogeneity,macro,someAveraged,sampleyear,IFrecursive,citations,reviewed_journal,regulation,global,ownership,firstpub,investperst
2,1.8608695652173917,0.017000473222680307,0.009135768320599228,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,2.5649493574615367,11978,1,0,0,10.5,0.596,1.791759469228055,1,0,1,0,11,0.037037037037037035
2,3.224675324675325,0.031245154546694857,0.009689395489712057,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,2.5649493574615367,10641,1,0,0,10.5,0.596,1.791759469228055,1,1,1,0,11,0.037037037037037035
2,0.07641921397379912,0.0007408174874432823,0.009694125978543524,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,2.5649493574615367,10641,1,0,0,10.5,0.596,1.791759469228055,1,1,1,0,11,0.037037037037037035
2,-0.08924949290060852,-0.0008651957412867895,0.009694125010326982,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,2.5649493574615367,10641,1,0,0,10.5,0.596,1.791759469228055,1,1,1,0,11,0.037037037037037035
2,5.511363636363637,0.05335177501907413,0.009680322065316542,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,2.5649493574615367,10641,1,0,0,10.5,0.596,1.791759469228055,1,1,1,0,11,0.037037037037037035
2,-3.4421582075903063,-0.06193448444240372,0.017992922087611177,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,2.5649493574615367,3077,1,0,0,10.5,0.596,1.791759469228055,1,1,1,0,11,0.037037037037037035
2,-1.3924242424242423,-0.02163825165977678,0.01553998486991586,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,2.5649493574615367,4139,1,0,0,10.5,0.596,1.791759469228055,1,1,1,0,11,0.037037037037037035
2,1.8199052132701423,0.018705027915252664,0.01027802315134977,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,2.5649493574615367,9463,1,0,0,10.5,0.596,1.791759469228055,1,1,1,0,11,0.037037037037037035
2,5.3004291845493565,0.05098194248679221,0.009618455546091162,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,2.5649493574615367,10781,1,0,0,10.5,0.596,1.791759469228055,1,0,1,0,11,0.037037037037037035
2,2.6184210526315788,0.025209945754376087,0.009627918981570768,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,2.5649493574615367,10781,1,0,0,10.5,0.596,1.791759469228055,1,0,1,0,11,0.037037037037037035
2,3.2750716332378227,0.031526470050222376,0.009626192517521967,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,2.5649493574615367,10781,1,0,0,10.5,0.596,1.791759469228055,1,0,1,0,11,0.037037037037037035
2,3.266666666666667,0.03313268993279424,0.010142660183508439,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,2.5649493574615367,9710,1,0,0,10.5,0.596,1.791759469228055,1,0,1,0,11,0.037037037037037035
2,2.515235457063712,0.035792229422892646,0.014230170508440798,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,2.5649493574615367,4932,1,0,0,10.5,0.596,1.791759469228055,1,0,1,0,11,0.037037037037037035
2,4.2272727272727275,0.045073457245432935,0.010662538273113167,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,2.1972245773362196,8778,1,0,0,10.5,0.596,1.791759469228055,1,0,1,0,11,0.037037037037037035
2,5.647260273972603,0.05646726246368032,0.009999054359851215,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,2.5649493574615367,9970,1,0,0,10.5,0.596,1.791759469228055,1,0,1,0,11,0.037037037037037035
