id,idstudy,country,startyear,endyear,eis,se,micro,panel,quasipan,sepdur,sepgov,septrd,seplab,seprisk,habits,inverse,secord,exact,yearfe,totalc,food,tastes,ml,tsls,coint,ols,bayes,income,inflinst,firstlag,stockhold,nonstock,irstock,ircap,idcountry,annual,monthly,periods,obs,csunits,years,avyear,top,impact,cits,yearcits,pubyear,comb,study,perstudy,last,gdppc,finref,eascredit,marketpartic,education,gini,realrate,inflation,growth,lifeexp,politstab,ruleoflaw,trust
14,1,USA,1959,1978,1.1419435879867534,0.11162540953713153,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,112,0,1,239,239,1.0,19.916666,1968.5,1,2.651,1990,64.19355,1982,0,Hansen and Singleton (1982),30,0,19855.389,0.6309524,3.7551482,0.26,10.5165,41.811768,1.9759346,4.527587,3.9977202,71.06033,0.54,1.6,41.51057
15,1,USA,1959,1978,1.223391240518718,0.1110541106514422,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,112,0,1,239,239,1.0,19.916666,1968.5,1,2.651,1990,64.19355,1982,0,Hansen and Singleton (1982),30,0,19855.389,0.6309524,3.7551482,0.26,10.5165,41.811768,1.9759346,4.527587,3.9977202,71.06033,0.54,1.6,41.51057
16,1,USA,1959,1978,1.1745360582569884,0.08677274848997482,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,112,0,1,239,239,1.0,19.916666,1968.5,1,2.651,1990,64.19355,1982,0,Hansen and Singleton (1982),30,0,19855.389,0.6309524,3.7551482,0.26,10.5165,41.811768,1.9759346,4.527587,3.9977202,71.06033,0.54,1.6,41.51057
17,1,USA,1959,1978,1.9252984212552946,1.7077107868161614,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,112,0,1,239,239,1.0,19.916666,1968.5,1,2.651,1990,64.19355,1982,0,Hansen and Singleton (1982),30,0,19855.389,0.6309524,3.7551482,0.26,10.5165,41.811768,1.9759346,4.527587,3.9977202,71.06033,0.54,1.6,41.51057
18,1,USA,1959,1978,1.0696331158412664,0.3822488223366854,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,112,0,1,239,239,1.0,19.916666,1968.5,1,2.651,1990,64.19355,1982,0,Hansen and Singleton (1982),30,0,19855.389,0.6309524,3.7551482,0.26,10.5165,41.811768,1.9759346,4.527587,3.9977202,71.06033,0.54,1.6,41.51057
19,1,USA,1959,1978,1.3083867591259977,0.3771262632938078,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,112,0,1,239,239,1.0,19.916666,1968.5,1,2.651,1990,64.19355,1982,0,Hansen and Singleton (1982),30,0,19855.389,0.6309524,3.7551482,0.26,10.5165,41.811768,1.9759346,4.527587,3.9977202,71.06033,0.54,1.6,41.51057
20,1,USA,1959,1978,1.0721561059290232,0.18150900517443208,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,112,0,1,239,239,1.0,19.916666,1968.5,1,2.651,1990,64.19355,1982,0,Hansen and Singleton (1982),30,0,19855.389,0.6309524,3.7551482,0.26,10.5165,41.811768,1.9759346,4.527587,3.9977202,71.06033,0.54,1.6,41.51057
21,1,USA,1959,1978,1.4545454545454546,0.5018446280991735,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,112,0,1,239,239,1.0,19.916666,1968.5,1,2.651,1990,64.19355,1982,0,Hansen and Singleton (1982),30,0,19855.389,0.6309524,3.7551482,0.26,10.5165,41.811768,1.9759346,4.527587,3.9977202,71.06033,0.54,1.6,41.51057
22,1,USA,1959,1978,2.759381898454746,1.3157317661506076,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,112,0,1,239,239,1.0,19.916666,1968.5,1,2.651,1990,64.19355,1982,0,Hansen and Singleton (1982),30,0,19855.389,0.6309524,3.7551482,0.26,10.5165,41.811768,1.9759346,4.527587,3.9977202,71.06033,0.54,1.6,41.51057
23,1,USA,1959,1978,2.855511136493432,1.255707352998254,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,112,0,1,239,239,1.0,19.916666,1968.5,1,2.651,1990,64.19355,1982,0,Hansen and Singleton (1982),30,0,19855.389,0.6309524,3.7551482,0.26,10.5165,41.811768,1.9759346,4.527587,3.9977202,71.06033,0.54,1.6,41.51057
