id,idstudy,e,se,t,nobs,good,r,ser,precr,invperstudy
1,2,-0.0322,0.0133,-2.4210526315789473,711,1,-0.09042460153218206,0.03734929193720563,26.774269286852167,23
2,2,-0.0196,0.0093,-2.10752688172043,625,1,-0.084003112458695,0.03985861968703386,25.088676122051044,23
3,2,-0.0132,0.0055,-2.4,465,1,-0.11061434821070466,0.04608931175446028,21.697004401529718,23
4,2,0.0007,0.0205,0.03414634146341463,705,1,0.0012860245560793661,0.03766214771375287,26.5518580512294,23
5,2,-0.0783,0.0672,-1.1651785714285714,684,1,-0.044507567528875344,0.03819806561865164,26.17933614710878,23
6,2,-0.0003,0.0016,-0.18749999999999997,672,1,-0.00723278033742831,0.03857482846628433,25.923640875656336,23
7,2,-0.004,0.025,-0.16,711,1,-0.006000360782538401,0.037502254890865006,26.665063285130227,23
8,2,0.0266,0.013,2.046153846153846,625,1,0.08157338826668423,0.039866693513793044,25.08359514826633,23
9,2,-0.0034,0.0051,-0.6666666666666666,465,1,-0.03090116233045482,0.04635174349568223,21.57416150037921,23
10,2,0.055,0.0292,1.8835616438356164,705,1,0.07076121148033375,0.03756777045864992,26.618561277163884,23
11,2,0.0709,0.0371,1.9110512129380055,684,1,0.07287657159166887,0.03813428499366594,26.22312179620252,23
12,2,0.0005,0.0011,0.45454545454545453,672,1,0.01753177665392058,0.03856990863862528,25.926947594544323,23
13,2,-0.0182,0.0119,-1.5294117647058822,711,1,-0.057263305218245644,0.03744139187346831,26.7084087947227,23
14,2,0.0005,0.0111,0.04504504504504504,625,1,0.0018017988770433978,0.03999993507036343,25.00004058108873,23
15,2,0.0312,0.0212,1.471698113207547,705,1,0.05534241150082398,0.037604459096713734,26.5925909857693,23
16,2,0.027,0.0581,0.46471600688468157,684,1,0.017766056188302997,0.038229920908903856,26.15752207238015,23
17,2,-0.0002,0.0012,-0.16666666666666669,672,1,-0.006429173371706417,0.0385750402302385,25.923498563615556,23
18,2,-0.0216,0.0118,-1.8305084745762714,711,1,-0.06848823715793546,0.037414870299242516,26.727341081287822,23
