"cn_id","idstudy","size","size_unwinsorized","se","se_unwinsorized","trust_index","rule_of_law","trust_rule_of_law","placebo_index","regulatory_quality","government_effectiveness","control_of_corruption","rel_size","avg_year","num_years","any_trim","OLS","FM","excess","indstock","jan","impact","cits","indep_demean","value","syst_risk","momentum","leverage_group","profitability","liquidity","volatility","price_group","mkt_char","mkt_state","information","ownership","growth","distress_group","size_group","bond_yield","mkt_return_vol","credit_gdp","gdp_pc","gdp_growth"
"Australia",15,-0.0013,-0.0013,0.0014444444444444,0.0014444444444444,1.11302011310243,1.71339905261993,1.90704760733663,0.26981370113155,1.3675971031189,1.8005645275116,1.8773558139801,0,-3.80099999999993,2.484906649788,0,0,0,1,0,0,0.001,4.11087386417331,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,10.0799999237061,0.319330766797066,0.250599,10.288164748114,0.809143529214637
"Australia",15,-0.0039,-0.0039,0.0015725806451613,0.0015725806451613,1.11302011310243,1.71339905261993,1.90704760733663,0.26981370113155,1.3675971031189,1.8005645275116,1.8773558139801,0,-3.80099999999993,2.484906649788,0,0,0,1,0,1,0.001,4.11087386417331,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,10.0799999237061,0.319330766797066,0.250599,10.288164748114,0.809143529214637
"Australia",15,-0.0038,-0.0038,0.0004674046740467,0.0004674046740467,1.11302011310243,1.71339905261993,1.90704760733663,0.26981370113155,1.3675971031189,1.8005645275116,1.8773558139801,0,-3.80099999999993,2.484906649788,0,0,0,1,0,0,0.001,4.11087386417331,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,10.0799999237061,0.319330766797066,0.250599,10.288164748114,0.809143529214637
"Australia",15,-0.0037,-0.0037,0.0004590570719603,0.0004590570719603,1.11302011310243,1.71339905261993,1.90704760733663,0.26981370113155,1.3675971031189,1.8005645275116,1.8773558139801,0,-3.80099999999993,2.484906649788,0,0,0,1,0,0,0.001,4.11087386417331,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,10.0799999237061,0.319330766797066,0.250599,10.288164748114,0.809143529214637
"Australia",15,-0.0036,-0.0036,0.0015189873417722,0.0015189873417722,1.11302011310243,1.71339905261993,1.90704760733663,0.26981370113155,1.3675971031189,1.8005645275116,1.8773558139801,0,-3.80099999999993,2.484906649788,0,0,0,1,0,1,0.001,4.11087386417331,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,10.0799999237061,0.319330766797066,0.250599,10.288164748114,0.809143529214637
"Australia",15,-0.0039,-0.0039,0.0004905660377358,0.0004905660377358,1.11302011310243,1.71339905261993,1.90704760733663,0.26981370113155,1.3675971031189,1.8005645275116,1.8773558139801,0,-3.80099999999993,2.484906649788,0,0,0,1,0,0,0.001,4.11087386417331,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,10.0799999237061,0.319330766797066,0.250599,10.288164748114,0.809143529214637
"Australia",15,-0.0052,-0.0052,0.0014985590778098,0.0014985590778098,1.11302011310243,1.71339905261993,1.90704760733663,0.26981370113155,1.3675971031189,1.8005645275116,1.8773558139801,0,-3.80099999999993,2.484906649788,0,0,0,1,0,0,0.001,4.11087386417331,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,10.0799999237061,0.319330766797066,0.250599,10.288164748114,0.809143529214637
"Australia",15,-0.0058,-0.0058,0.0015064935064935,0.0015064935064935,1.11302011310243,1.71339905261993,1.90704760733663,0.26981370113155,1.3675971031189,1.8005645275116,1.8773558139801,0,-3.80099999999993,2.484906649788,0,0,0,1,0,0,0.001,4.11087386417331,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,10.0799999237061,0.319330766797066,0.250599,10.288164748114,0.809143529214637
"Australia",15,-0.005,-0.005,0.001497005988024,0.001497005988024,1.11302011310243,1.71339905261993,1.90704760733663,0.26981370113155,1.3675971031189,1.8005645275116,1.8773558139801,0,-3.80099999999993,2.484906649788,0,0,0,1,0,0,0.001,4.11087386417331,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,10.0799999237061,0.319330766797066,0.250599,10.288164748114,0.809143529214637
"Australia",15,-0.0032,-0.0032,0.0015094339622642,0.0015094339622642,1.11302011310243,1.71339905261993,1.90704760733663,0.26981370113155,1.3675971031189,1.8005645275116,1.8773558139801,0,-3.80099999999993,2.484906649788,0,0,0,1,0,0,0.001,4.11087386417331,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,10.0799999237061,0.319330766797066,0.250599,10.288164748114,0.809143529214637
"Australia",15,-0.0013,-0.0013,0.0015116279069767,0.0015116279069767,1.11302011310243,1.71339905261993,1.90704760733663,0.26981370113155,1.3675971031189,1.8005645275116,1.8773558139801,0,-3.80099999999993,2.484906649788,0,0,0,1,0,0,0.001,4.11087386417331,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,10.0799999237061,0.319330766797066,0.250599,10.288164748114,0.809143529214637
"Australia",15,-0.0066,-0.0066,0.0015102974828375,0.0015102974828375,1.11302011310243,1.71339905261993,1.90704760733663,0.26981370113155,1.3675971031189,1.8005645275116,1.8773558139801,0,-3.80099999999993,2.484906649788,0,0,0,1,0,0,0.001,4.11087386417331,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,10.0799999237061,0.319330766797066,0.250599,10.288164748114,0.809143529214637
"Australia",15,0.000239746952363249,0.000239746952363249,0.000123078298502564,0.000116951151019,1.11302011310243,1.71339905261993,1.90704760733663,0.26981370113155,1.3675971031189,1.8005645275116,1.8773558139801,0,-3.80099999999993,2.484906649788,0,0,0,1,0,0,0.001,4.11087386417331,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,10.0799999237061,0.319330766797066,0.250599,10.288164748114,0.809143529214637
"Australia",15,-4e-04,-4e-04,0.0016,0.0016,1.11302011310243,1.71339905261993,1.90704760733663,0.26981370113155,1.3675971031189,1.8005645275116,1.8773558139801,0,-3.80099999999993,2.484906649788,0,0,0,1,0,0,0.001,4.11087386417331,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,10.0799999237061,0.319330766797066,0.250599,10.288164748114,0.809143529214637
"Australia",15,-0.0026,-0.0026,0.0015384615384615,0.0015384615384615,1.11302011310243,1.71339905261993,1.90704760733663,0.26981370113155,1.3675971031189,1.8005645275116,1.8773558139801,0,-3.80099999999993,2.484906649788,0,0,0,1,0,0,0.001,4.11087386417331,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,10.0799999237061,0.319330766797066,0.250599,10.288164748114,0.809143529214637
"Australia",15,-0.0054,-0.0054,0.0015041782729805,0.0015041782729805,1.11302011310243,1.71339905261993,1.90704760733663,0.26981370113155,1.3675971031189,1.8005645275116,1.8773558139801,0,-3.80099999999993,2.484906649788,0,0,0,1,0,0,0.001,4.11087386417331,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,10.0799999237061,0.319330766797066,0.250599,10.288164748114,0.809143529214637
"Australia",15,-0.0041,-0.0041,0.0015413533834586,0.0015413533834586,1.11302011310243,1.71339905261993,1.90704760733663,0.26981370113155,1.3675971031189,1.8005645275116,1.8773558139801,0,-3.80099999999993,2.484906649788,0,0,0,1,0,1,0.001,4.11087386417331,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,10.0799999237061,0.319330766797066,0.250599,10.288164748114,0.809143529214637
"Australia",15,-0.0021,-0.0021,0.0015,0.0015,1.11302011310243,1.71339905261993,1.90704760733663,0.26981370113155,1.3675971031189,1.8005645275116,1.8773558139801,0,-3.80099999999993,2.484906649788,0,0,0,1,0,0,0.001,4.11087386417331,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,10.0799999237061,0.319330766797066,0.250599,10.288164748114,0.809143529214637
"Australia",15,-0.0038,-0.0038,0.0149606299212598,0.0149606299212598,1.11302011310243,1.71339905261993,1.90704760733663,0.26981370113155,1.3675971031189,1.8005645275116,1.8773558139801,0,-3.80099999999993,2.484906649788,0,0,0,1,0,0,0.001,4.11087386417331,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,10.0799999237061,0.319330766797066,0.250599,10.288164748114,0.809143529214637
"Australia",15,-0.0036,-0.0036,0.0004240282685512,0.0004240282685512,1.11302011310243,1.71339905261993,1.90704760733663,0.26981370113155,1.3675971031189,1.8005645275116,1.8773558139801,0,-3.80099999999993,2.484906649788,0,0,0,1,0,0,0.001,4.11087386417331,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,10.0799999237061,0.319330766797066,0.250599,10.288164748114,0.809143529214637
"Australia",15,-0.0028,-0.0028,0.0003027027027027,0.0003027027027027,1.11302011310243,1.71339905261993,1.90704760733663,0.26981370113155,1.3675971031189,1.8005645275116,1.8773558139801,0,1.69900000000007,3.2188758248682,0,0,0,1,0,0,0.001,4.11087386417331,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,13.3999996185303,0.319330766797066,0.306341,10.3748995645451,0.724522814550002
"Australia",15,-0.0036,-0.0036,0.001128526645768,0.001128526645768,1.11302011310243,1.71339905261993,1.90704760733663,0.26981370113155,1.3675971031189,1.8005645275116,1.8773558139801,0,1.69900000000007,3.2188758248682,0,0,0,1,0,0,0.001,4.11087386417331,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,13.3999996185303,0.319330766797066,0.306341,10.3748995645451,0.724522814550002
"Australia",15,-0.0039,-0.0039,0.0011048158640227,0.0011048158640227,1.11302011310243,1.71339905261993,1.90704760733663,0.26981370113155,1.3675971031189,1.8005645275116,1.8773558139801,0,1.69900000000007,3.2188758248682,0,0,0,1,0,0,0.001,4.11087386417331,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,13.3999996185303,0.319330766797066,0.306341,10.3748995645451,0.724522814550002
"Australia",15,-0.003,-0.003,0.0003550295857988,0.0003550295857988,1.11302011310243,1.71339905261993,1.90704760733663,0.26981370113155,1.3675971031189,1.8005645275116,1.8773558139801,0,1.69900000000007,3.2188758248682,0,0,0,1,0,0,0.001,4.11087386417331,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,13.3999996185303,0.319330766797066,0.306341,10.3748995645451,0.724522814550002
"Australia",15,-0.0029,-0.0029,0.0003444180522565,0.0003444180522565,1.11302011310243,1.71339905261993,1.90704760733663,0.26981370113155,1.3675971031189,1.8005645275116,1.8773558139801,0,1.69900000000007,3.2188758248682,0,0,0,1,0,0,0.001,4.11087386417331,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,13.3999996185303,0.319330766797066,0.306341,10.3748995645451,0.724522814550002
