id,idstudy,eis,se,micro,panel,quasipan,sepdur,sepgov,septrd,seplab,seprisk,habits,inverse,secord,exact,yearfe,totalc,food,tastes,ml,tsls,coint,ols,bayes,income,inflinst,firstlag,stockhold,nonstock,irstock,ircap,country,idcountry,annual,monthly,startyear,endyear,periods,obs,csunits,years,avyear,top,impact,cits,yearcits,pubyear,comb,study,perstudy,last
18,1,1.0696331158412664,0.3822488223366854,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,USA,112,0,1,1959,1978,239,239,1.0,19.916666,1968.5,1,2.651,1990,64.19355,1982,0,Hansen and Singleton (1982),30,0
19,1,1.3083867591259977,0.3771262632938078,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,USA,112,0,1,1959,1978,239,239,1.0,19.916666,1968.5,1,2.651,1990,64.19355,1982,0,Hansen and Singleton (1982),30,0
20,1,1.0721561059290232,0.18150900517443208,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,USA,112,0,1,1959,1978,239,239,1.0,19.916666,1968.5,1,2.651,1990,64.19355,1982,0,Hansen and Singleton (1982),30,0
21,1,1.4545454545454546,0.5018446280991735,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,USA,112,0,1,1959,1978,239,239,1.0,19.916666,1968.5,1,2.651,1990,64.19355,1982,0,Hansen and Singleton (1982),30,0
22,1,2.759381898454746,1.3157317661506076,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,USA,112,0,1,1959,1978,239,239,1.0,19.916666,1968.5,1,2.651,1990,64.19355,1982,0,Hansen and Singleton (1982),30,0
23,1,2.855511136493432,1.255707352998254,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,USA,112,0,1,1959,1978,239,239,1.0,19.916666,1968.5,1,2.651,1990,64.19355,1982,0,Hansen and Singleton (1982),30,0
24,1,1.3867702121758425,0.13827316357709485,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,USA,112,0,1,1959,1978,239,239,1.0,19.916666,1968.5,1,2.651,1990,64.19355,1982,0,Hansen and Singleton (1982),30,0
25,1,1.8460402436773122,0.4423408226496495,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,USA,112,0,1,1959,1978,239,239,1.0,19.916666,1968.5,1,2.651,1990,64.19355,1982,0,Hansen and Singleton (1982),30,0
26,1,1.7755681818181817,0.32724427782799587,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,USA,112,0,1,1959,1978,239,239,1.0,19.916666,1968.5,1,2.651,1990,64.19355,1982,0,Hansen and Singleton (1982),30,0
27,1,1.0007004903432404,0.26356886726542667,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,USA,112,0,1,1959,1977,227,227,1.0,18.916666,1968.0,1,2.651,1990,64.19355,1982,0,Hansen and Singleton (1982),30,0
