id_study,study,id_estimate,estimate,se_estimate,t_stat,se_imputed,interaction_term,direct_est,sample_size,ln_sample_size,data_firms,ln_data firms,bgd_mean,ln_bgd_mean,method_linear,method_panel,method_iv,method_gmm,method_tobit,method_quantile,method_other,data_panel,data_cross-section,proper_endog_control,poor_endog_control,control_firm_lev,control_firm_size,control_board_ind,control_board_size,control_csr_com,bloomberg,eikon,global,europe,us,asia,middle_east,other,developed,emerging,financial,non-financial,cross_sector,sector,sector_cat,country,country_cat,published_study,unpublished_study,pub_year,ln_publication_year,citations,ln_citations,impact_factor,ln_impact_factor,data_start,data_end,data_mid_year,ln_avg_year,data_length,ln_data_length,data_variables,ln_data_variables,Reference
2,Adeneye et al. (2024),7,0.00688,0.00294,2.340136054421769,0,0,1,192,5.257495372027781,198.0,5.288267030694535,25.192,3.226526483798724,1,0,0,0,0,0,0,0,1,0,1,1,1,1,1,0,0,1,0,1,0,0,0,0,1,0,0,1,0,non-financial,Non-financial Firms,UK,UK,1,0,2024,7.612831030407357,25,3.218875824868201,0.008,-4.828313737302302,2017,2017,2017.0,7.609366537954211,1,0.0,8,2.079441541679836,"Adeneye, Yusuf Babatunde, Setareh Fasihi, Ines Kammoun, and Khaldoon Albitar, 'Does earnings management constrain ESG performance? The role of corporate governance', International Journal of Disclosure and Governance, 21, no. 1 (2024), 69–92."
2,Adeneye et al. (2024),8,0.00977,0.00265,3.686792452830189,0,0,1,204,5.318119993844216,198.0,5.288267030694535,25.192,3.226526483798724,1,0,0,0,0,0,0,0,1,0,1,1,1,1,1,0,0,1,0,1,0,0,0,0,1,0,0,1,0,non-financial,Non-financial Firms,UK,UK,1,0,2024,7.612831030407357,25,3.218875824868201,0.008,-4.828313737302302,2018,2018,2018.0,7.609862200913554,1,0.0,8,2.079441541679836,"Adeneye, Yusuf Babatunde, Setareh Fasihi, Ines Kammoun, and Khaldoon Albitar, 'Does earnings management constrain ESG performance? The role of corporate governance', International Journal of Disclosure and Governance, 21, no. 1 (2024), 69–92."
2,Adeneye et al. (2024),9,0.00984,0.00232,4.241379310344827,0,0,1,212,5.356586274672012,198.0,5.288267030694535,25.192,3.226526483798724,1,0,0,0,0,0,0,0,1,0,1,1,1,1,1,0,0,1,0,1,0,0,0,0,1,0,0,1,0,non-financial,Non-financial Firms,UK,UK,1,0,2024,7.612831030407357,25,3.218875824868201,0.008,-4.828313737302302,2019,2019,2019.0,7.610357618312838,1,0.0,8,2.079441541679836,"Adeneye, Yusuf Babatunde, Setareh Fasihi, Ines Kammoun, and Khaldoon Albitar, 'Does earnings management constrain ESG performance? The role of corporate governance', International Journal of Disclosure and Governance, 21, no. 1 (2024), 69–92."
2,Adeneye et al. (2024),10,0.00522,0.00188,2.776595744680851,0,0,1,187,5.231108616854587,198.0,5.288267030694535,25.192,3.226526483798724,1,0,0,0,0,0,0,0,1,0,1,1,1,1,1,0,0,1,0,1,0,0,0,0,1,0,0,1,0,non-financial,Non-financial Firms,UK,UK,1,0,2024,7.612831030407357,25,3.218875824868201,0.008,-4.828313737302302,2020,2020,2020.0,7.61085279039525,1,0.0,8,2.079441541679836,"Adeneye, Yusuf Babatunde, Setareh Fasihi, Ines Kammoun, and Khaldoon Albitar, 'Does earnings management constrain ESG performance? The role of corporate governance', International Journal of Disclosure and Governance, 21, no. 1 (2024), 69–92."
2,Adeneye et al. (2024),11,0.349,0.052,6.711538461538462,0,0,1,967,6.874198495453294,198.0,5.288267030694535,25.192,3.226526483798724,0,0,0,0,0,1,1,1,0,0,1,1,1,1,1,0,0,1,0,1,0,0,0,0,1,0,0,1,0,non-financial,Non-financial Firms,UK,UK,1,0,2024,7.612831030407357,25,3.218875824868201,0.008,-4.828313737302302,2016,2020,2018.0,7.609862200913554,5,1.6094379124341,8,2.079441541679836,"Adeneye, Yusuf Babatunde, Setareh Fasihi, Ines Kammoun, and Khaldoon Albitar, 'Does earnings management constrain ESG performance? The role of corporate governance', International Journal of Disclosure and Governance, 21, no. 1 (2024), 69–92."
2,Adeneye et al. (2024),12,0.359,0.0559,6.422182468694096,0,0,1,967,6.874198495453294,198.0,5.288267030694535,25.192,3.226526483798724,0,0,0,0,0,1,1,1,0,0,1,1,1,1,1,0,0,1,0,1,0,0,0,0,1,0,0,1,0,non-financial,Non-financial Firms,UK,UK,1,0,2024,7.612831030407357,25,3.218875824868201,0.008,-4.828313737302302,2016,2020,2018.0,7.609862200913554,5,1.6094379124341,8,2.079441541679836,"Adeneye, Yusuf Babatunde, Setareh Fasihi, Ines Kammoun, and Khaldoon Albitar, 'Does earnings management constrain ESG performance? The role of corporate governance', International Journal of Disclosure and Governance, 21, no. 1 (2024), 69–92."
2,Adeneye et al. (2024),13,0.395,0.0665,5.93984962406015,0,0,1,967,6.874198495453294,198.0,5.288267030694535,25.192,3.226526483798724,0,0,0,0,0,1,1,1,0,0,1,1,1,1,1,0,0,1,0,1,0,0,0,0,1,0,0,1,0,non-financial,Non-financial Firms,UK,UK,1,0,2024,7.612831030407357,25,3.218875824868201,0.008,-4.828313737302302,2016,2020,2018.0,7.609862200913554,5,1.6094379124341,8,2.079441541679836,"Adeneye, Yusuf Babatunde, Setareh Fasihi, Ines Kammoun, and Khaldoon Albitar, 'Does earnings management constrain ESG performance? The role of corporate governance', International Journal of Disclosure and Governance, 21, no. 1 (2024), 69–92."
2,Adeneye et al. (2024),14,0.437,0.0679,6.435935198821797,0,0,1,315,5.752572638825633,198.0,5.288267030694535,25.192,3.226526483798724,0,1,0,0,0,0,0,1,0,0,1,1,1,1,1,0,0,1,0,1,0,0,0,0,1,0,0,1,0,non-financial,Non-financial Firms,UK,UK,1,0,2024,7.612831030407357,25,3.218875824868201,0.008,-4.828313737302302,2016,2020,2018.0,7.609862200913554,5,1.6094379124341,8,2.079441541679836,"Adeneye, Yusuf Babatunde, Setareh Fasihi, Ines Kammoun, and Khaldoon Albitar, 'Does earnings management constrain ESG performance? The role of corporate governance', International Journal of Disclosure and Governance, 21, no. 1 (2024), 69–92."
2,Adeneye et al. (2024),15,0.304,0.0547,5.557586837294333,0,0,1,652,6.480044561926653,198.0,5.288267030694535,25.192,3.226526483798724,0,1,0,0,0,0,0,1,0,0,1,1,1,1,1,0,0,1,0,1,0,0,0,0,1,0,0,1,0,non-financial,Non-financial Firms,UK,UK,1,0,2024,7.612831030407357,25,3.218875824868201,0.008,-4.828313737302302,2016,2020,2018.0,7.609862200913554,5,1.6094379124341,8,2.079441541679836,"Adeneye, Yusuf Babatunde, Setareh Fasihi, Ines Kammoun, and Khaldoon Albitar, 'Does earnings management constrain ESG performance? The role of corporate governance', International Journal of Disclosure and Governance, 21, no. 1 (2024), 69–92."
2,Adeneye et al. (2024),16,0.334,0.0645,5.178294573643411,0,0,1,516,6.246106765481563,198.0,5.288267030694535,25.192,3.226526483798724,0,1,0,0,0,0,0,1,0,0,1,1,1,1,1,0,0,1,0,1,0,0,0,0,1,0,0,1,0,non-financial,Non-financial Firms,UK,UK,1,0,2024,7.612831030407357,25,3.218875824868201,0.008,-4.828313737302302,2016,2020,2018.0,7.609862200913554,5,1.6094379124341,8,2.079441541679836,"Adeneye, Yusuf Babatunde, Setareh Fasihi, Ines Kammoun, and Khaldoon Albitar, 'Does earnings management constrain ESG performance? The role of corporate governance', International Journal of Disclosure and Governance, 21, no. 1 (2024), 69–92."
