idstudy,idauthor,study,discrate,standard_error,hyperbolic_discounting,exponential_discounting,delay,frontend_delay,lab_experiment,real_reward,matching_task,health_domain,other_domain,negative_framing,neutral_framing,stakes,sample_size,students,males_only,females_only,north_america,asia,africa,citations,publication_year,elicitation_method,discounting,domain,money_domain,nobs,instrument,country,continent,impact_factor,year,invperst,invperst_origse
1,2,Harrison et al. (2002),0.281464,0.0053537,0,0,1.0986122886681098,1,0,1,0,0,0,0,0,1.0564075400630977,6.54534966033442,0,0,0,0,0,0,4.05589548110879,-0.17057826084597943,choice,na,money,1,696.0,0.03790490217894517,Denmark,Europe,2.329,2002,0.02857142857142857,0.02857142857142857
1,2,Harrison et al. (2002),0.2806626,0.0076262,0,0,1.0986122886681098,1,0,1,0,0,0,0,0,1.0564075400630977,5.817111159963204,0,1,0,0,0,0,4.05589548110879,-0.17057826084597943,choice,na,money,1,336.0,0.0545544725589981,Denmark,Europe,2.329,2002,0.02857142857142857,0.02857142857142857
1,2,Harrison et al. (2002),0.28221209999999997,0.007667374,0,0,1.0986122886681098,1,0,1,0,0,0,0,0,1.0564075400630977,5.886104031450156,0,0,1,0,0,0,4.05589548110879,-0.17057826084597943,choice,na,money,1,360.0,0.05270462766947299,Denmark,Europe,2.329,2002,0.02857142857142857,0.02857142857142857
1,2,Harrison et al. (2002),0.28715209999999997,0.009551633,0,0,1.0986122886681098,1,0,1,0,0,0,0,0,1.0564075400630977,4.983606621708336,0,0,0,0,0,0,4.05589548110879,-0.17057826084597943,choice,na,money,1,146.0,0.0827605888602368,Denmark,Europe,2.329,2002,0.02857142857142857,0.02857142857142857
1,2,Harrison et al. (2002),0.2835924,0.008708021,0,0,1.0986122886681098,1,0,1,0,0,0,0,0,1.0564075400630977,5.293304824724492,0,0,0,0,0,0,4.05589548110879,-0.17057826084597943,choice,na,money,1,199.0,0.07088812050083358,Denmark,Europe,2.329,2002,0.02857142857142857,0.02857142857142857
1,2,Harrison et al. (2002),0.2505474,0.01065985,0,0,1.0986122886681098,1,0,1,0,0,0,0,0,1.0564075400630977,5.062595033026967,0,0,0,0,0,0,4.05589548110879,-0.17057826084597943,choice,na,money,1,158.0,0.079555728417573,Denmark,Europe,2.329,2002,0.02857142857142857,0.02857142857142857
1,2,Harrison et al. (2002),0.3002767,0.01256172,0,0,1.0986122886681098,1,0,1,0,0,0,0,0,1.0564075400630977,5.262690188904886,0,0,0,0,0,0,4.05589548110879,-0.17057826084597943,choice,na,money,1,193.0,0.07198157507486945,Denmark,Europe,2.329,2002,0.02857142857142857,0.02857142857142857
1,2,Harrison et al. (2002),0.3292452,0.01014352,0,0,1.0986122886681098,1,0,1,0,0,0,0,0,1.0564075400630977,5.14166355650266,0,0,0,0,0,0,4.05589548110879,-0.17057826084597943,choice,na,money,1,171.0,0.07647191129018725,Denmark,Europe,2.329,2002,0.02857142857142857,0.02857142857142857
1,2,Harrison et al. (2002),0.3008146,0.00676202,0,0,1.0986122886681098,1,0,1,0,0,0,0,0,1.0564075400630977,5.634789603169249,0,0,0,0,0,0,4.05589548110879,-0.17057826084597943,choice,na,money,1,280.0,0.05976143046671968,Denmark,Europe,2.329,2002,0.02857142857142857,0.02857142857142857
1,2,Harrison et al. (2002),0.22682009999999997,0.0075203710000000005,0,0,1.0986122886681098,1,0,1,0,0,0,0,0,1.0564075400630977,4.836281906951478,0,0,0,0,0,0,4.05589548110879,-0.17057826084597943,choice,na,money,1,126.0,0.0890870806374748,Denmark,Europe,2.329,2002,0.02857142857142857,0.02857142857142857
1,2,Harrison et al. (2002),0.22513149999999998,0.01251744,0,0,1.0986122886681098,1,0,1,0,0,0,0,0,1.0564075400630977,4.77912349311153,0,0,0,0,0,0,4.05589548110879,-0.17057826084597943,choice,na,money,1,119.0,0.09166984970282113,Denmark,Europe,2.329,2002,0.02857142857142857,0.02857142857142857
1,2,Harrison et al. (2002),0.3142633,0.007387784,0,0,1.0986122886681098,1,0,1,0,0,0,0,0,1.0564075400630977,5.68697535633982,0,0,0,0,0,0,4.05589548110879,-0.17057826084597943,choice,na,money,1,295.0,0.0582222509739582,Denmark,Europe,2.329,2002,0.02857142857142857,0.02857142857142857
1,2,Harrison et al. (2002),0.2573349,0.006889163,0,0,1.0986122886681098,1,0,1,0,0,0,0,0,1.0564075400630977,5.993961427306569,0,0,0,0,0,0,4.05589548110879,-0.17057826084597943,choice,na,money,1,401.0,0.04993761694389223,Denmark,Europe,2.329,2002,0.02857142857142857,0.02857142857142857
1,2,Harrison et al. (2002),0.2748244,0.005661343,0,0,1.0986122886681098,1,0,1,0,0,0,0,0,1.0564075400630977,6.431331081933479,0,0,0,0,0,0,4.05589548110879,-0.17057826084597943,choice,na,money,1,621.0,0.040128617695256406,Denmark,Europe,2.329,2002,0.02857142857142857,0.02857142857142857
1,2,Harrison et al. (2002),0.33644019999999997,0.01291917,0,0,1.0986122886681098,1,0,1,0,0,0,0,0,1.0564075400630977,4.31748811353631,0,0,0,0,0,0,4.05589548110879,-0.17057826084597943,choice,na,money,1,75.0,0.11547005383792514,Denmark,Europe,2.329,2002,0.02857142857142857,0.02857142857142857
1,2,Harrison et al. (2002),0.309838,0.005470159999999999,0,0,1.0986122886681098,1,0,1,0,0,0,0,0,1.0564075400630977,6.226536669287466,0,0,0,0,0,0,4.05589548110879,-0.17057826084597943,choice,na,money,1,506.0,0.044455422447438706,Denmark,Europe,2.329,2002,0.02857142857142857,0.02857142857142857
1,2,Harrison et al. (2002),0.20589960000000002,0.007659382,0,0,1.0986122886681098,1,0,1,0,0,0,0,0,1.0564075400630977,5.247024072160486,0,0,0,0,0,0,4.05589548110879,-0.17057826084597943,choice,na,money,1,190.0,0.07254762501100116,Denmark,Europe,2.329,2002,0.02857142857142857,0.02857142857142857
1,2,Harrison et al. (2002),0.2850351,0.005887187,0,0,1.0986122886681098,1,0,1,0,0,0,0,0,1.0564075400630977,6.274762021241939,0,0,0,0,0,0,4.05589548110879,-0.17057826084597943,choice,na,money,1,531.0,0.04339630366027462,Denmark,Europe,2.329,2002,0.02857142857142857,0.02857142857142857
1,2,Harrison et al. (2002),0.2699719,0.01236626,0,0,1.0986122886681098,1,0,1,0,0,0,0,0,1.0564075400630977,5.10594547390058,0,0,0,0,0,0,4.05589548110879,-0.17057826084597943,choice,na,money,1,165.0,0.0778498944161523,Denmark,Europe,2.329,2002,0.02857142857142857,0.02857142857142857
1,2,Harrison et al. (2002),0.2679067,0.007654368,0,0,1.0986122886681098,1,0,1,0,0,0,0,0,1.0564075400630977,5.961005339623274,0,0,0,0,0,0,4.05589548110879,-0.17057826084597943,choice,na,money,1,388.0,0.05076730825668096,Denmark,Europe,2.329,2002,0.02857142857142857,0.02857142857142857
1,2,Harrison et al. (2002),0.2985428,0.007091534,0,0,1.0986122886681098,1,0,1,0,0,0,0,0,1.0564075400630977,5.730099782973574,0,0,0,0,0,0,4.05589548110879,-0.17057826084597943,choice,na,money,1,308.0,0.05698028822981897,Denmark,Europe,2.329,2002,0.02857142857142857,0.02857142857142857
1,2,Harrison et al. (2002),0.3166546,0.007322497,0,0,1.0986122886681098,1,0,1,0,0,0,0,0,1.0564075400630977,5.673323267171493,0,0,0,0,0,0,4.05589548110879,-0.17057826084597943,choice,na,money,1,291.0,0.05862103817605492,Denmark,Europe,2.329,2002,0.02857142857142857,0.02857142857142857
1,2,Harrison et al. (2002),0.256179,0.006893576,0,0,1.0986122886681098,1,0,1,0,0,0,0,0,1.0564075400630977,6.003887067106539,0,0,0,0,0,0,4.05589548110879,-0.17057826084597943,choice,na,money,1,405.0,0.049690399499995326,Denmark,Europe,2.329,2002,0.02857142857142857,0.02857142857142857
1,2,Harrison et al. (2002),0.2652264,0.0049460910000000005,0,0,1.0986122886681098,1,0,1,0,0,0,0,0,1.0564075400630977,6.401917196727186,0,0,0,0,0,0,4.05589548110879,-0.17057826084597943,choice,na,money,1,603.0,0.040723148118768406,Denmark,Europe,2.329,2002,0.02857142857142857,0.02857142857142857
1,2,Harrison et al. (2002),0.38674709999999995,0.01029985,0,0,1.0986122886681098,1,0,1,0,0,0,0,0,1.0564075400630977,4.532599493153256,0,0,0,0,0,0,4.05589548110879,-0.17057826084597943,choice,na,money,1,93.0,0.10369516947304253,Denmark,Europe,2.329,2002,0.02857142857142857,0.02857142857142857
1,2,Harrison et al. (2002),0.2838739,0.005465463,0,0,1.0986122886681098,1,0,1,0,0,0,0,0,1.0564075400630977,6.484635235635252,0,0,0,0,0,0,4.05589548110879,-0.17057826084597943,choice,na,money,1,655.0,0.03907323325822818,Denmark,Europe,2.329,2002,0.02857142857142857,0.02857142857142857
1,2,Harrison et al. (2002),0.2429656,0.01699674,0,0,1.0986122886681098,1,0,1,0,0,0,0,0,1.0564075400630977,3.713572066704308,0,0,0,0,0,0,4.05589548110879,-0.17057826084597943,choice,na,money,1,41.0,0.15617376188860607,Denmark,Europe,2.329,2002,0.02857142857142857,0.02857142857142857
1,2,Harrison et al. (2002),0.2747882,0.007236279,0,0,1.0986122886681098,1,0,1,0,0,0,0,0,1.0564075400630977,6.115892125483034,0,0,0,0,0,0,4.05589548110879,-0.17057826084597943,choice,na,money,1,453.0,0.046984098573493956,Denmark,Europe,2.329,2002,0.02857142857142857,0.02857142857142857
1,2,Harrison et al. (2002),0.29390910000000003,0.008189498,0,0,1.0986122886681098,1,0,1,0,0,0,0,0,1.0564075400630977,5.493061443340548,0,0,0,0,0,0,4.05589548110879,-0.17057826084597943,choice,na,money,1,243.0,0.06415002990995841,Denmark,Europe,2.329,2002,0.02857142857142857,0.02857142857142857
1,2,Harrison et al. (2002),0.2889642,0.007119442,0,0,1.0986122886681098,1,0,1,0,0,0,0,0,1.0564075400630977,6.066108090103747,0,0,0,0,0,0,4.05589548110879,-0.17057826084597943,choice,na,money,1,431.0,0.0481683050859088,Denmark,Europe,2.329,2002,0.02857142857142857,0.02857142857142857
1,2,Harrison et al. (2002),0.2692657,0.008296289,0,0,1.0986122886681098,1,0,1,0,0,0,0,0,1.0564075400630977,5.579729825986222,0,0,0,0,0,0,4.05589548110879,-0.17057826084597943,choice,na,money,1,265.0,0.06142951168339512,Denmark,Europe,2.329,2002,0.02857142857142857,0.02857142857142857
1,2,Harrison et al. (2002),0.2819078,0.007941139,0,0,1.0986122886681098,1,0,1,0,0,0,0,0,1.0564075400630977,5.958424693029782,0,0,0,0,0,0,4.05589548110879,-0.17057826084597943,choice,na,money,1,387.0,0.05083285677753489,Denmark,Europe,2.329,2002,0.02857142857142857,0.02857142857142857
1,2,Harrison et al. (2002),0.2809083,0.007535453,0,0,1.0986122886681098,1,0,1,0,0,0,0,0,1.0564075400630977,5.733341276897746,0,0,0,0,0,0,4.05589548110879,-0.17057826084597943,choice,na,money,1,309.0,0.05688801239885743,Denmark,Europe,2.329,2002,0.02857142857142857,0.02857142857142857
