study,prim_sec,grade,age,date,months,subject,country,n_study,es,se,z,p
Schuurman et al. 2021,Primary,6,11.0,Jun 2020,3,Math,Netherlands,275,-0.25779019183269236,0.12110443114034895,2.128660276137519,0.0
Schuurman et al. 2021,Secondary,7,12.0,Jun 2020,3,Math,Netherlands,293,-0.24890066867175184,0.1172927810631632,2.122045929985381,0.0
Schuurman et al. 2021,Primary,5,10.0,Jun 2020,3,Reading,Netherlands,318,-0.24769012797593445,0.11258365442857024,2.2000540774156856,0.0
Schuurman et al. 2021,Primary,6,11.0,Jun 2020,3,Reading,Netherlands,275,0.2246787888725099,0.1209844509781711,1.857088138648892,0.0
Schuurman et al. 2021,Secondary,7,12.0,Jun 2020,3,Reading,Netherlands,293,-0.20369604876977707,0.11714385485743921,1.7388538990600015,0.0
Tomasik et al. 2020,Primary,3-6,10.7025,May 2020,2,Math/Reading,Switzerland,13134,-0.1102,0.0014,78.71428571428572,0.0
Tomasik et al. 2020,Secondary,7-9,14.35,May 2020,2,Math/Reading,Switzerland,15551,-0.0306,0.0009,34.0,0.0
Vegas 2022,Secondary,11,16.0,Sep 2021,18,Math,Colombia,2754862,0.0752,0.00126,59.682539682539684,0.0
Vegas 2022,Secondary,11,16.0,Sep 2021,18,Reading,Colombia,2754862,-0.323,0.0013,248.46153846153848,0.0
Weidman et al. 2021,Primary,3-6,8.5,Sep 2020,6,Math,United Kingdom,8534,-0.015,0.01,1.5,0.0
Weidman et al. 2021,Primary,3-6,8.5,Nov 2020,8,Math,United Kingdom,8534,0.01,0.027,0.3703703703703704,0.0
Weidman et al. 2021,Primary,3-6,8.5,Sep 2020,6,Reading,United Kingdom,8359,-0.018,0.012,1.4999999999999998,0.0
Weidman et al. 2021,Primary,3-6,8.5,Nov 2020,8,Reading,United Kingdom,8359,-0.003,0.03,0.1,0.0
