LABEL,IDSTUDY,IDAUTHOR,COUNTRY,COUNTRYA,ESTIMATE,SE,TSTAT,PRECISION,PCC,PCCSE,N,K,DF,REGRESSION,SIMULATION,RESIDENT,LIGHT,USA,PUBYEAR,DSTYEAR,PERIOD,HOUR,DAY,MONTH,DID,LOG,MAIN,CITATIONS,JOURNAL,IMPACT,WEIGHT,LATITUDE,DAYLIGHT,EUROPE,REFERENCE
Momami et al. (2009),33,27,Jordan,Jordan,1.4000000000000001,.,.,.,.,.,.,.,.,0,0,0,0,0,2009,2000,1,1,0,0,0,0,1,11,1,0.027,0.14285714285714285,31.0,14.166666666666666,0,"Momani, M. A., B. Yatim, & M. A. M. Ali (2009): The impact of the daylight saving time on electricity consumption: A case study from Jordan. Energy Policy 37(5): pp. 2042-2051."
Momami et al. (2009),33,27,Jordan,Jordan,-0.2,.,.,.,.,.,.,.,.,0,0,0,0,0,2009,2007,1,1,0,0,0,0,1,11,1,0.027,0.14285714285714285,31.0,14.166666666666666,0,"Momani, M. A., B. Yatim, & M. A. M. Ali (2009): The impact of the daylight saving time on electricity consumption: A case study from Jordan. Energy Policy 37(5): pp. 2042-2051."
Momami et al. (2009),33,27,Jordan,Jordan,0.3,.,.,.,.,.,.,.,.,0,0,0,0,0,2009,2007,1,1,0,0,0,0,1,11,1,0.027,0.14285714285714285,31.0,14.166666666666666,0,"Momani, M. A., B. Yatim, & M. A. M. Ali (2009): The impact of the daylight saving time on electricity consumption: A case study from Jordan. Energy Policy 37(5): pp. 2042-2051."
Momami et al. (2009),33,27,Jordan,Jordan,0.95,0.31819805153394637,2.9855619650098673,3.1426968052735447,.,.,.,.,.,0,0,0,0,0,2009,2000,1,1,0,0,0,0,0,11,1,0.027,0.14285714285714285,31.0,14.166666666666666,0,"Momani, M. A., B. Yatim, & M. A. M. Ali (2009): The impact of the daylight saving time on electricity consumption: A case study from Jordan. Energy Policy 37(5): pp. 2042-2051."
Momami et al. (2009),33,27,Jordan,Jordan,0.05,0.1767766952966369,0.282842712474619,5.656854249492381,.,.,.,.,.,0,0,0,0,0,2009,2007,1,1,0,0,0,0,0,11,1,0.027,0.14285714285714285,31.0,14.166666666666666,0,"Momani, M. A., B. Yatim, & M. A. M. Ali (2009): The impact of the daylight saving time on electricity consumption: A case study from Jordan. Energy Policy 37(5): pp. 2042-2051."
Momami et al. (2009),33,27,Jordan,Jordan,0.5,0.28939592256975566,1.7277368511627202,3.4554737023254405,.,.,.,.,.,0,0,0,0,0,2009,2000,2,1,0,0,0,0,0,11,1,0.027,0.14285714285714285,31.0,14.166666666666666,0,"Momani, M. A., B. Yatim, & M. A. M. Ali (2009): The impact of the daylight saving time on electricity consumption: A case study from Jordan. Energy Policy 37(5): pp. 2042-2051."
Nordic Council Report (1974),34,28,Sweden,Sweden,-0.3,.,.,.,.,.,.,.,.,0,0,0,0,0,1974,1973,.,1,0,0,0,0,1,1,0,0.0,1.0,62.0,19.75,1,"Nordic Council (1974): “Sommertid/ny normaltid.” Nordisk Utredningsserie 12, Nordisk Ministerrad, Stockholm."
Ramos et al. (1998),35,29,Mexico,Mexico,-0.83,.,.,.,.,.,.,.,.,1,0,0,0,0,1998,1995,1,1,0,0,0,0,1,4,0,0.0,1.0,23.0,13.55,0,"Ramos, G.; Covarrubias, R.; Sada, J.; Buitron, H.; Vargas, E. & Rodriguez, R. (1998): Energy saving due to the implementation of the daylight saving time in Mexico. In Proceedings of the International Conference on Large High Voltage Electric Systems, CIGRE: Paris, 13, p. 6"
Rock (1997),36,30,USA,USA,0.244,.,.,.,.,.,234,.,.,0,1,1,0,1,1997,1996,1,1,0,0,0,0,1,33,1,0.03,0.5,37.751,14.766666666666667,0,"Rock, B. A. (1997): Impact of daylight saving time on residential energy consumption and cost. Energy and Buildings 25(1): pp. 63-68."
Rock (1997),36,30,USA,USA,-0.267,.,.,.,.,.,234,.,.,0,1,1,0,1,1997,1996,1,1,0,0,0,0,0,33,1,0.03,0.5,37.751,14.766666666666667,0,"Rock, B. A. (1997): Impact of daylight saving time on residential energy consumption and cost. Energy and Buildings 25(1): pp. 63-68."
SEP (1995),37,31,Netherlands,Netherlands,-0.1,.,.,.,.,.,.,.,.,0,0,0,0,0,1995,1995,.,1,0,0,0,0,1,1,0,0.0,1.0,52.5,16.833333333333332,1,"SEP (1995): ""Internal SEP (Dutch Samenwerkende Energie Producenten) estimate on energy savings from DST."" In:  In K.-J. Reincke & F. van den Broek (editors), “Summer Time: Thorough examination of the implications of summer-time arrangements in the Member States of the European Union,” Commission Europeenne, Leiden."
Shimoda et al. (2007),38,32,Japan,Japan,0.13,.,.,.,.,.,1044000,.,.,0,1,1,0,0,2007,2000,1,1,0,0,0,0,1,110,1,0.004,1.0,34.6937378,14.483333333333333,0,"Shimoda, Y., T. Asahi, A. Taniguchi, & M. Mizuno (2007): Evaluation of city-scale impact of residential energy conservation measures using the detailed end-use simulation model. Energy 32(9): pp. 1617-1633."
Shore (1984),39,33,Israel,Israel,0.0,.,.,.,.,.,.,.,.,1,0,0,0,0,1984,1972,9,1,0,0,1,0,0,1,1,0.105,1.0,31.5,14.2,0,"Shore, H. (1984): Summer Time and Electricity Conservation: The Israeli Case. Energy Journal, 5, 53-70"
Terna (2016),40,34,Italy,Italy,-0.21343481138318995,.,.,.,.,.,.,.,.,1,0,0,0,0,2007,2006,1,1,0,0,0,0,1,0,0,0.0,0.1,42.8333,15.333333333333334,1,"Terna (2016): Daylight saving time: In seven months Italy saved... Press release 2006-2016, Terna Group: grid operator for electricity transmission in Italy, 2016
"
Terna (2016),40,34,Italy,Italy,-0.21237656352863726,.,.,.,.,.,.,.,.,1,0,0,0,0,2008,2007,1,1,0,0,0,0,1,0,0,0.0,0.1,42.8333,15.333333333333334,1,"Terna (2016): Daylight saving time: In seven months Italy saved... Press release 2006-2016, Terna Group: grid operator for electricity transmission in Italy, 2016
"
Terna (2016),40,34,Italy,Italy,-0.2042997154600063,.,.,.,.,.,.,.,.,1,0,0,0,0,2009,2008,1,1,0,0,0,0,1,0,0,0.0,0.1,42.8333,15.333333333333334,1,"Terna (2016): Daylight saving time: In seven months Italy saved... Press release 2006-2016, Terna Group: grid operator for electricity transmission in Italy, 2016
"
Terna (2016),40,34,Italy,Italy,-0.20328801770471075,.,.,.,.,.,.,.,.,1,0,0,0,0,2010,2009,1,1,0,0,0,0,1,0,0,0.0,0.1,42.8333,15.333333333333334,1,"Terna (2016): Daylight saving time: In seven months Italy saved... Press release 2006-2016, Terna Group: grid operator for electricity transmission in Italy, 2016
"
Terna (2016),40,34,Italy,Italy,-0.20457142857142857,.,.,.,.,.,.,.,.,1,0,0,0,0,2011,2010,1,1,0,0,0,0,1,0,0,0.0,0.1,42.8333,15.333333333333334,1,"Terna (2016): Daylight saving time: In seven months Italy saved... Press release 2006-2016, Terna Group: grid operator for electricity transmission in Italy, 2016
"
Terna (2016),40,34,Italy,Italy,-0.2053968253968254,.,.,.,.,.,.,.,.,1,0,0,0,0,2012,2011,1,1,0,0,0,0,1,0,0,0.0,0.1,42.8333,15.333333333333334,1,"Terna (2016): Daylight saving time: In seven months Italy saved... Press release 2006-2016, Terna Group: grid operator for electricity transmission in Italy, 2016
"
Terna (2016),40,34,Italy,Italy,-0.1978057437883188,.,.,.,.,.,.,.,.,1,0,0,0,0,2013,2012,1,1,0,0,0,0,1,0,0,0.0,0.1,42.8333,15.333333333333334,1,"Terna (2016): Daylight saving time: In seven months Italy saved... Press release 2006-2016, Terna Group: grid operator for electricity transmission in Italy, 2016
"
Terna (2016),40,34,Italy,Italy,-0.18107074569789677,.,.,.,.,.,.,.,.,1,0,0,0,0,2014,2013,1,1,0,0,0,0,1,1,0,0.0,0.1,42.8333,15.333333333333334,1,"Terna (2016): Daylight saving time: In seven months Italy saved... Press release 2006-2016, Terna Group: grid operator for electricity transmission in Italy, 2016
"
Terna (2016),40,34,Italy,Italy,-0.17893880208333335,.,.,.,.,.,.,.,.,1,0,0,0,0,2015,2014,1,1,0,0,0,0,1,0,0,0.0,0.1,42.8333,15.333333333333334,1,"Terna (2016): Daylight saving time: In seven months Italy saved... Press release 2006-2016, Terna Group: grid operator for electricity transmission in Italy, 2016
"
Terna (2016),40,34,Italy,Italy,-0.17978515624999997,.,.,.,.,.,.,.,.,1,0,0,0,0,2016,2015,1,1,0,0,0,0,1,0,0,0.0,0.1,42.8333,15.333333333333334,1,"Terna (2016): Daylight saving time: In seven months Italy saved... Press release 2006-2016, Terna Group: grid operator for electricity transmission in Italy, 2016
"
VDEW (1993),41,35,Germany,Germany,0.0,.,.,.,.,.,.,.,.,1,0,0,0,0,1993,1993,1,1,0,0,0,0,1,1,0,0.0,1.0,51.0,16.533333333333335,1,"VDEW (1993): ""Internal VDEW estimate on energy savings (via Mr. Hans-Werner Alt)."" In:  In K.-J. Reincke & F. van den Broek (editors), “Summer Time: Thorough examination of the implications of summer-time arrangements in the Member States of the European Union,” Commission Europeenne, Leiden."
Verdejo et al. (2016),42,36,Chile,Chile,-0.04,.,.,.,.,.,.,.,.,1,0,1,0,0,2016,2014,1,1,0,0,1,1,1,0,1,0.027,0.25,18.4746,13.233333333333333,0,"Verdejo, H.; Becker, C.; Echiburu, D.; Escudero, W. & Fucks, E. (2016): Impact of daylight saving time on the Chilean residential consumption. Energy Policy, 88, 456-464"
Verdejo et al. (2016),42,36,Chile,Chile,-0.55,.,.,.,.,.,.,.,.,1,0,1,0,0,2016,2014,1,1,0,0,1,1,1,0,1,0.027,0.25,33.45694,14.366666666666667,0,"Verdejo, H.; Becker, C.; Echiburu, D.; Escudero, W. & Fucks, E. (2016): Impact of daylight saving time on the Chilean residential consumption. Energy Policy, 88, 456-464"
Verdejo et al. (2016),42,36,Chile,Chile,0.32,.,.,.,.,.,.,.,.,1,0,1,0,0,2016,2014,1,1,0,0,1,1,1,0,1,0.027,0.25,36.82699,14.683333333333334,0,"Verdejo, H.; Becker, C.; Echiburu, D.; Escudero, W. & Fucks, E. (2016): Impact of daylight saving time on the Chilean residential consumption. Energy Policy, 88, 456-464"
Verdejo et al. (2016),42,36,Chile,Chile,-0.48,.,.,.,.,.,.,.,.,1,0,1,0,0,2016,2014,1,1,0,0,1,1,1,0,1,0.027,0.25,53.15483,16.966666666666665,0,"Verdejo, H.; Becker, C.; Echiburu, D.; Escudero, W. & Fucks, E. (2016): Impact of daylight saving time on the Chilean residential consumption. Energy Policy, 88, 456-464"
Wanko & Ingeborg (1983),43,37,Austria,Austria,-0.24,.,.,.,.,.,.,.,.,0,0,0,0,0,1983,1980,2,0,1,0,0,0,1,1,0,0.0,0.5,47.3333,15.933333333333334,1,"Wanko & Ingeborg (1983): Die Einfuhrung der Sommerzeit in Osterreich: Eine energiewirtschaftliche Betraucht der Ausgangsvoraussetzungen und Auswirkungen, Economic University of Austria"
Wanko & Ingeborg (1983),43,37,Austria,Austria,-0.26,.,.,.,.,.,.,.,.,0,0,0,0,0,1983,1980,2,0,1,0,0,0,1,1,0,0.0,0.5,47.3333,15.933333333333334,1,"Wanko & Ingeborg (1983): Die Einfuhrung der Sommerzeit in Osterreich: Eine energiewirtschaftliche Betraucht der Ausgangsvoraussetzungen und Auswirkungen, Economic University of Austria"
Wiener Stadtwerke (1999),44,38,Austria,Austria,-0.1,.,.,.,.,.,.,.,.,0,0,0,0,0,1999,1999,.,1,0,0,0,0,1,1,0,0.0,1.0,47.3333,15.933333333333334,1,"Wiener Stadtwerke (1999): ""Interview with Mr. Hochwarter from Wiener Stadtwerke."" In:  In K.-J. Reincke & F. van den Broek (editors), “Summer Time: Thorough examination of the implications of summer-time arrangements in the Member States of the European Union,” Commission Europeenne, Leiden."
